CIF_NO,CNT,REFERENCE_NO,TX_DT,MCHT_CATEGORY,MCHT_NO,MCHT_ENG_NAME,MCHT_CHI_NAME,BIN_TYPE,MCHT_COUNTRY,COUNTRY,CITY,TXN_TYP,DEST_AMT,Mcc_Desc,MCC_Group_Cd,MCC_Group,CUSTOMER_SINCE,CHNL,CHNL_DESC,MCHT_CHI_NAME_CHANGE,MCHT_CHI_NAME_CHANGE_V1,CUST_TYPE,GENDER,Industry_Typ,FLG_AGE,AGE,TOWN_COUNTRY,COTRY_REMARK,CITY_REMARK
1000000408,1,1700000100,10-Jan-17,5411,8080211480,FU JIA,收藏天地－台灣文創禮品館　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,45,超級市場,19,量販零售,2016/12/19,1.員工開戶,員工開戶,收藏天地－,台灣文創禮品館　　　　　　　　,STAFF,FEMALE,金融/證券/保險業,46-50,47.7,台北市大同區,台灣,台北市
1000000519,1,1700000101,11-Jan-17,5942,114002327,ESLITE,誠品信義旗艦店　　　　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,55,書店,7,文教,2016/12/19,1.員工開戶,員工開戶,ESLITE,,STAFF,MALE,金融/證券/保險業,26-30,28.4,新北市新店區,台灣,台北市
1000000803,1,1700000102,11-Jan-17,5411,5.54835E+12,HSIAO PEI VARIET STORE FH,小北百貨－福和店　　　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,124,超級市場,19,量販零售,2017/1/3,7.自來案件,自來案件,小北百貨,福和店　　　　　　　　　　　　,GENERAL,MALE,軍/警/公/教,26-30,27.9,新北市永和區,台灣,台北市
1000000805,1,1700000103,10-Jan-17,5812,205701199,SAN BI SHOU,三必居餐飲有限公司　　　　　　　　　　　,V,國內,TW,KAICHUNG,非網路交易,768,餐廳,3,食,2017/1/3,7.自來案件,自來案件,三必居餐飲有限公司　　　　　　　　　　　,,GENERAL,MALE,餐飲服務/旅遊休閒業,31-35,33.8,高雄市大樹區,台灣,其他
1000000871,1,1700000104,10-Jan-17,4112,8.1277E+11,Taiwan High Speed Rail Co,高鐵智慧型手機ＩＰｈｏｎｅ　　　　　　　,V,國內,TW,TAIPEI,網路交易,730,交通,6,行,2017/1/3,5.分行開戶,其他分行,高鐵智慧型手機ＩＰｈｏｎｅ　　　　　　　,,GENERAL,MALE,學生,20-25,21.3,高雄市鼓山區,台灣,台北市
1000000875,1,1700000105,10-Jan-17,7372,8080192740,"SHOPEE (TAIWAN) CO.,LT",蝦皮拍賣　　　　　　　　　　　　　　　　,V,國內,TW,TAIPEI,網路交易,335,電商服務,21,電商網購,2017/1/3,7.自來案件,自來案件,蝦皮,,GENERAL,MALE,醫療服務/衛生保健業,36-40,39.8,新北市新店區,台灣,台北市
1000000875,1,1700000106,10-Jan-17,7372,8080192740,"SHOPEE (TAIWAN) CO.,LT",蝦皮拍賣　　　　　　　　　　　　　　　　,V,國內,TW,TAIPEI,網路交易,480,電商服務,21,電商網購,2017/1/3,7.自來案件,自來案件,蝦皮,,GENERAL,MALE,醫療服務/衛生保健業,36-40,39.8,新北市新店區,台灣,台北市
1000000891,1,1700000107,11-Jan-17,4112,100200060,TAIWAN RAILWAY ADMINISTRA,台鐵局－樹林站　　　　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,29,交通,6,行,2017/1/3,7.自來案件,自來案件,台灣鐵路,樹林站　　　　　　　　　　　　　,GENERAL,MALE,餐飲服務/旅遊休閒業,26-30,25.3,台北市中山區,台灣,台北市
1000000892,1,1700000108,11-Jan-17,5411,8.12331E+11,750011RT-Mart,大潤發忠孝店　　　　　　　　　　　　　　,V,國內,TW,HSINCHU,非網路交易,1517,超級市場,19,量販零售,2017/1/3,7.自來案件,自來案件,大潤發,,GENERAL,FEMALE,餐飲服務/旅遊休閒業,31-35,33,新竹市香山區,台灣,新竹市
1000000892,1,1700000109,11-Jan-17,5541,1522401879,OIL TAIWAN,中油－長和加油站（Ｄ４２７９　　　　　　,V,國內,TW,HSINCHU,非網路交易,760,加油站,6,行,2017/1/3,7.自來案件,自來案件,OIL TAIWAN,長和加油站（Ｄ４２７９　　　　　　,GENERAL,FEMALE,餐飲服務/旅遊休閒業,31-35,33,新竹市香山區,台灣,新竹市
1000000892,1,1700000110,11-Jan-17,5943,6.26698E+12,WEN JU GUO WANG QI YE,文具國王企業社　　　　　　　　　　　　　,V,國內,TW,Hsinchu City,非網路交易,104,辦公用品店,7,文教,2017/1/3,7.自來案件,自來案件,文具國王企業社　　　　　　　　　　　　　,,GENERAL,FEMALE,餐飲服務/旅遊休閒業,31-35,33,新竹市香山區,台灣,其他
1000000951,1,1700000111,11-Jan-17,5811,8080075258,SPOONFUL,爭鮮迴轉壽司－愛河（家）店　　　　　　　,V,國內,TW,TAIPEI,非網路交易,1200,外燴,3,食,2017/1/3,7.自來案件,自來案件,SPOONFUL,愛河（家）店　　　　　　　,GENERAL,MALE,餐飲服務/旅遊休閒業,20-25,22.2,高雄市前金區,台灣,台北市
1000000951,1,1700000112,11-Jan-17,5411,8080034525,PRESICARRE CORP.-LR,家樂福－愛河店一般　　　　　　　　　　　,V,國內,TW,KAOHSIUNG,非網路交易,545,超級市場,19,量販零售,2017/1/3,7.自來案件,自來案件,家樂福,愛河店一般　　　　　　　　　　　,GENERAL,MALE,餐飲服務/旅遊休閒業,20-25,22.2,高雄市前金區,台灣,高雄市
1000001042,1,1700000113,11-Jan-17,4814,1330001120,FULLERTON TECHNOLOGY CO.L,富爾特網路商店　　　　　　　　　　　　　,V,國內,TW,SHINDIAN,非網路交易,100,傳真通訊,11,3C消費,2017/1/3,7.自來案件,自來案件,富爾特網路商店　　　　　　　　　　　　　,,GENERAL,MALE,學生,20-25,21.5,南投縣南投市,台灣,其他
1000001187,1,1700000114,11-Jan-17,4899,4230001853,CHUN CHIEN,群健有線電視（股）公司　　　　　　　　　,V,國內,TW,TAICHUNG,非網路交易,949,有線付費電視,10,家庭支出,2017/1/4,7.自來案件,自來案件,群健有線電視（股）公司　　　　　　　　　,,GENERAL,MALE,無業,36-40,39.1,台中市東區,台灣,台中市
1000000142,1,1700000115,10-Jan-17,4112,8.1277E+11,Taiwan High Speed Rail Co,高鐵智慧型手機Ａｎｄｒｏｉｄ　　　　　　,V,國內,TW,TAIPEI,網路交易,1400,交通,6,行,2016/12/19,1.員工開戶,員工開戶,高鐵智慧型手機Ａｎｄｒｏｉｄ　　　　　　,,STAFF,FEMALE,金融/證券/保險業,41-45,41,台中市太平區,台灣,台北市
1000000142,1,1700000116,10-Jan-17,4112,8.1277E+11,Taiwan High Speed Rail Co,高鐵智慧型手機Ａｎｄｒｏｉｄ　　　　　　,V,國內,TW,TAIPEI,網路交易,1400,交通,6,行,2016/12/19,1.員工開戶,員工開戶,高鐵智慧型手機Ａｎｄｒｏｉｄ　　　　　　,,STAFF,FEMALE,金融/證券/保險業,41-45,41,台中市太平區,台灣,台北市
1000000671,1,1700000117,11-Jan-17,5812,126900057,KANG HSIEN,康鮮國際股份有限公司洲子分公　　　　　　,V,國內,TW,TAIPEI,非網路交易,308,餐廳,3,食,2016/12/19,1.員工開戶,員工開戶,康鮮國際股份有限公司洲子分公　　　　　　,,STAFF,FEMALE,金融/證券/保險業,31-35,33.3,新北市林口區,台灣,台北市
1000000373,1,1700000118,11-Jan-17,5542,124400249,OIL TUNG,中油－富陽街站自助加油（Ｄ２　　　　　　,V,國內,TW,TAIPEI,網路交易,91,自助加油站,6,行,2016/12/19,1.員工開戶,員工開戶,OIL TAIWAN,富陽街站自助加油（Ｄ２　　　　　　,STAFF,MALE,金融/證券/保險業,41-45,40.5,台北市大安區,台灣,台北市
1000000064,1,1700000119,11-Jan-17,5814,1.00019E+11,BREEZE TAIPEI STATION,微風台北車站美食街　　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,330,速食餐廳,3,食,2016/12/19,1.員工開戶,員工開戶,BREEZE,,STAFF,MALE,金融/證券/保險業,51-55,52.3,台北市文山區,台灣,台北市
1000001309,1,1700000120,10-Jan-17,7372,8080192740,"SHOPEE (TAIWAN) CO.,LT",蝦皮拍賣　　　　　　　　　　　　　　　　,V,國內,TW,TAIPEI,網路交易,96,電商服務,21,電商網購,2017/1/4,7.自來案件,自來案件,蝦皮,,GENERAL,FEMALE,學生,20-25,22.3,屏東縣里港鄉,台灣,台北市
1000000235,1,1700000121,10-Jan-17,7372,8080192740,"SHOPEE (TAIWAN) CO.,LT",蝦皮拍賣　　　　　　　　　　　　　　　　,V,國內,TW,TAIPEI,網路交易,452,電商服務,21,電商網購,2016/12/19,1.員工開戶,員工開戶,蝦皮,,STAFF,MALE,金融/證券/保險業,31-35,32.8,台中市西區,台灣,台北市
1000000235,1,1700000122,10-Jan-17,4112,8.1277E+11,Taiwan High Speed Rail Co,高鐵智慧型手機Ａｎｄｒｏｉｄ　　　　　　,V,國內,TW,TAIPEI,網路交易,560,交通,6,行,2016/12/19,1.員工開戶,員工開戶,高鐵智慧型手機Ａｎｄｒｏｉｄ　　　　　　,,STAFF,MALE,金融/證券/保險業,31-35,32.8,台中市西區,台灣,台北市
1000000118,1,1700000123,11-Jan-17,5541,1322404238,CHE JUNG FANG,車容坊加油站－三重站　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,995,加油站,6,行,2016/12/19,1.員工開戶,員工開戶,車容坊,三重站　　　　　　　　　　,STAFF,MALE,金融/證券/保險業,41-45,41.4,新北市三重區,台灣,台北市
1000000055,1,1700000124,11-Jan-17,5812,8.07547E+14,green n safe,齊民有機中國火鍋　　　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,450,餐廳,3,食,2016/12/19,1.員工開戶,員工開戶,齊民有機中國火鍋　　　　　　　　　　　　,,STAFF,FEMALE,金融/證券/保險業,46-50,45.8,台北市大安區,台灣,台北市
1000001412,1,1700000125,10-Jan-17,5311,8.1277E+11,17Life.com,康太數位整合股份有限公司　　　　　　　　,V,國內,TW,TAIPEI,網路交易,199,百貨商店,2,百貨公司,2017/1/5,7.自來案件,自來案件,康太數位整合股份有限公司　　　　　　　　,,GENERAL,FEMALE,製造/營造業,46-50,46.1,台北市中山區,台灣,台北市
1000001424,1,1700000126,11-Jan-17,4784,130012195,FAR EASTERN ELECTONIC TOL,遠通電收股份有限公司　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,17,過橋路費,6,行,2017/1/5,7.自來案件,自來案件,遠通電收股份有限公司　　　　　　　　　　,,GENERAL,MALE,批發/零售業,41-45,43.2,高雄市三民區,台灣,台北市
1000001424,1,1700000127,11-Jan-17,5045,214304706,CHUNG CHIANG,中將電子實業有限公司　　　　　　　　　　,V,國內,TW,KAOHSIUNG,非網路交易,559,電腦設備/軟體,22,未歸類,2017/1/5,7.自來案件,自來案件,中將電子實業有限公司　　　　　　　　　　,,GENERAL,MALE,批發/零售業,41-45,43.2,高雄市三民區,台灣,高雄市
1000001428,1,1700000128,10-Jan-17,4814,1.20171E+13,Taiwan Mobile 1,台哥大網路繳費　　　　　　　　　　　　　,V,國內,TW,TAIPEI,網路交易,200,傳真通訊,11,3C消費,2017/1/5,7.自來案件,自來案件,Taiwan Mobile,,GENERAL,MALE,軍/警/公/教,36-40,36.3,台北市松山區,台灣,台北市
1000000357,1,1700000129,11-Jan-17,5811,8080097478,SPOONFUL,定食８－內湖（潤）店（無人點餐１）　　　,V,國內,TW,TAIPEI,非網路交易,360,外燴,3,食,2016/12/19,1.員工開戶,員工開戶,SPOONFUL,內湖（潤）店（無人點餐１）　　　,STAFF,FEMALE,金融/證券/保險業,51-55,51.2,台北市信義區,台灣,台北市
1000000357,1,1700000130,10-Jan-17,5411,8080034285,PRESICARRE CORP.-KL,家樂福－桂林店一般　　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,104,超級市場,19,量販零售,2016/12/19,1.員工開戶,員工開戶,家樂福,桂林店一般　　　　　　　　　　　,STAFF,FEMALE,金融/證券/保險業,51-55,51.2,台北市信義區,台灣,台北市
1000000357,1,1700000131,11-Jan-17,5411,8.12331E+11,750014RT-Mart,大潤發內湖二店　　　　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,49,超級市場,19,量販零售,2016/12/19,1.員工開戶,員工開戶,大潤發,,STAFF,FEMALE,金融/證券/保險業,51-55,51.2,台北市信義區,台灣,台北市
1000000357,1,1700000132,11-Jan-17,5541,122400564,LI CHIH,麗馳加油站（股）公司　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,100,加油站,6,行,2016/12/19,1.員工開戶,員工開戶,麗馳加油站（股）公司　　　　　　　　　　,,STAFF,FEMALE,金融/證券/保險業,51-55,51.2,台北市信義區,台灣,台北市
1000001441,1,1700000133,11-Jan-17,5977,6.28206E+12,TAI WAN AO MI SI GU FE,台灣奧蜜思股份有限公司三多門市　　　　　,V,國內,TW,Kaohsiung Cit,非網路交易,490,化妝品店,12,美容,2017/1/5,7.自來案件,自來案件,台灣奧蜜思股份有限公司三多門市　　　　　,,GENERAL,MALE,資訊科技業,26-30,29.2,高雄市鼓山區,台灣,其他
1000000916,1,1700000134,10-Jan-17,4814,1.20171E+13,Taiwan Mobile 2,台哥大語音繳費　　　　　　　　　　　　　,V,國內,TW,TAIPEI,網路交易,1097,傳真通訊,11,3C消費,2017/1/3,7.自來案件,自來案件,Taiwan Mobile,,GENERAL,MALE,製造/營造業,41-45,42.4,桃園市楊梅區,台灣,台北市
1000000916,1,1700000135,10-Jan-17,4814,1.20171E+13,Taiwan Mobile 2,台哥大語音繳費　　　　　　　　　　　　　,V,國內,TW,TAIPEI,網路交易,3394,傳真通訊,11,3C消費,2017/1/3,7.自來案件,自來案件,Taiwan Mobile,,GENERAL,MALE,製造/營造業,41-45,42.4,桃園市楊梅區,台灣,台北市
1000000916,1,1700000136,10-Jan-17,4814,1.20171E+13,Taiwan Mobile 2,台哥大語音繳費　　　　　　　　　　　　　,V,國內,TW,TAIPEI,網路交易,1399,傳真通訊,11,3C消費,2017/1/3,7.自來案件,自來案件,Taiwan Mobile,,GENERAL,MALE,製造/營造業,41-45,42.4,桃園市楊梅區,台灣,台北市
1000001220,1,1700000137,11-Jan-17,5811,8080074912,SPOONFUL,爭鮮迴轉壽司－逢甲店　　　　　　　　　　,V,國內,TW,TAICHUNG,非網路交易,510,外燴,3,食,2017/1/4,7.自來案件,自來案件,SPOONFUL,逢甲店　　　　　　　　　　,GENERAL,FEMALE,金融/證券/保險業,26-30,29.4,台中市西屯區,台灣,台中市
1000001688,1,1700000138,10-Jan-17,5542,1424400177,CHE JUNG FANG,車容坊加油站－自助加油　　　　　　　　　,V,國內,TW,TAOYUAN,網路交易,539,自助加油站,6,行,2017/1/6,7.自來案件,自來案件,車容坊,自助加油　　　　　　　　　,GENERAL,MALE,無業,26-30,29.7,桃園市桃園區,台灣,桃園市
1000001736,1,1700000139,11-Jan-17,4784,130012195,FAR EASTERN ELECTONIC TOL,遠通電收股份有限公司　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,4,過橋路費,6,行,2017/1/7,7.自來案件,自來案件,遠通電收股份有限公司　　　　　　　　　　,,GENERAL,MALE,退休/家管,46-50,48.3,台南市東區,台灣,台北市
1000001758,1,1700000141,11-Jan-17,5735,2.10756E+14,ITUNES.COM/BILL,,V,國外,LU,ITUNES.COM,網路交易,2990,唱片,9,娛樂嗜好,2017/1/8,5.分行開戶,其他分行,ITUNES,,GENERAL,MALE,批發/零售業,26-30,26.3,花蓮縣吉安鄉,盧森堡,ITUNES.COM
1000001697,1,1700000142,11-Jan-17,4121,2.57916E+14,UBER BV,,V,國外,NL,800-592-8996,網路交易,188,小型巴士計程車(含Uber),6,行,2017/1/6,7.自來案件,自來案件,UBER,,GENERAL,FEMALE,金融/證券/保險業,41-45,42,台北市中山區,荷蘭,800-592-8996
1000001697,1,1700000143,11-Jan-17,4121,4.9875E+14,UBER TW JAN12 6MWTX HELP.,,V,國外,NL,help.uber.com,網路交易,171,小型巴士計程車(含Uber),6,行,2017/1/6,7.自來案件,自來案件,UBER,,GENERAL,FEMALE,金融/證券/保險業,41-45,42,台北市中山區,荷蘭,help.uber.com
1000000798,1,1700000144,11-Jan-17,5311,100801518,PChome,ＰＣｈｏｍｅ１　　　　　　　　　　　　　,V,國內,TW,TAIPEI CITY,網路交易,774,百貨商店,2,百貨公司,2017/1/3,7.自來案件,自來案件,PCHOME,,GENERAL,MALE,金融/證券/保險業,26-30,28.2,嘉義市東區,台灣,台北市
1000000335,1,1700000145,12-Jan-17,5541,1322403368,MECH PRESIDENT CORP   033,統一精工－新店安坑站　　　　　　　　　　,V,國內,TW,NEW TAIPEI CI,非網路交易,200,加油站,6,行,2016/12/19,1.員工開戶,員工開戶,統一精工－,新店安坑站　　　　　　　　　　,STAFF,FEMALE,金融/證券/保險業,41-45,43.1,新北市新店區,台灣,新北市
1000000335,1,1700000146,12-Jan-17,5541,1322403368,MECH PRESIDENT CORP   033,統一精工－新店安坑站　　　　　　　　　　,V,國內,TW,NEW TAIPEI CI,非網路交易,1861,加油站,6,行,2016/12/19,1.員工開戶,員工開戶,統一精工－,新店安坑站　　　　　　　　　　,STAFF,FEMALE,金融/證券/保險業,41-45,43.1,新北市新店區,台灣,新北市
1000000688,1,1700000147,12-Jan-17,5942,100800092,"BOOK.COM.CO,LTD",博客來數位科技股份有限公司　　　　　　　,V,國內,TW,TAIPEI CITY,網路交易,1201,書店,7,文教,2016/12/19,1.員工開戶,員工開戶,博客來,,STAFF,MALE,金融/證券/保險業,51-55,53.1,台北市中山區,台灣,台北市
1000000513,1,1700000148,11-Jan-17,5331,100810785,YAHOO 10785,雅虎奇摩購物中心　　　　　　　　　　　　,V,國內,TW,TAIPEI CITY,網路交易,1336,電商服務,21,電商網購,2016/12/19,1.員工開戶,員工開戶,YAHOO,,STAFF,FEMALE,金融/證券/保險業,41-45,44.7,新北市新店區,台灣,台北市
1000001049,1,1700000149,12-Jan-17,5411,101101246,WELLCOME 01246,頂好Ｗｅｌｌｃｏｍｅ師大店　　　　　　　,V,國內,TW,TAIPEI CITY,非網路交易,112,超級市場,19,量販零售,2017/1/3,7.自來案件,自來案件,頂好Ｗｅｌｌｃｏｍｅ師大店　　　　　　　,,GENERAL,FEMALE,資訊科技業,31-35,30.3,台北市大安區,台灣,台北市
1000001404,1,1700000150,12-Jan-17,5411,4201100442,WELLCOME-00442,頂好Ｗｅｌｌｃｏｍｅ青海店　　　　　　　,V,國內,TW,TAICHUNG CITY,非網路交易,100,超級市場,19,量販零售,2017/1/5,7.自來案件,自來案件,頂好Ｗｅｌｌｃｏｍｅ青海店　　　　　　　,,GENERAL,MALE,資訊科技業,26-30,25.4,台中市西屯區,台灣,台中市
1000001412,1,1700000151,12-Jan-17,5812,104025647,FAVtory  25647,ＦＡＶｔｏｒｙ快食尚　　　　　　　　　　,V,國內,TW,TAIPEI CITY,非網路交易,179,餐廳,3,食,2017/1/5,7.自來案件,自來案件,ＦＡＶｔｏｒｙ快食尚　　　　　　　　　　,,GENERAL,FEMALE,製造/營造業,46-50,46.1,台北市中山區,台灣,台北市
1000001092,1,1700000152,10-Jan-17,5621,2.18695E+14,PAYPAL *ASOSCOMLTD,,V,國外,GB,35314369001,網路交易,15540,女裝,4,衣服配件,2017/1/3,7.自來案件,自來案件,PAYPAL *ASOSCOMLTD,,GENERAL,MALE,學生,20-25,21.4,台中市大雅區,英國,35314369001
1000001688,1,1700000154,10-Jan-17,3072,12454088605,CEBU PAC   MiGSSMA1.7,,V,國外,PH,QUEZON CITY,網路交易,1574,航空公司,1,旅遊消費,2017/1/6,7.自來案件,自來案件,CEBU PAC   MiGSSMA1.7,,GENERAL,MALE,無業,26-30,29.7,桃園市桃園區,菲律賓,QUEZON CITY
1000000798,1,1700000155,12-Jan-17,4121,121747712,TAIWAN TAXI,台灣大車隊１６７７－　　　　　　　　　　,V,國內,TW,TAIPEI,非網路交易,385,小型巴士計程車(含Uber),6,行,2017/1/3,7.自來案件,自來案件,台灣大車隊,　　　　　　　　　　,GENERAL,MALE,金融/證券/保險業,26-30,28.2,嘉義市東區,台灣,台北市
1000000798,1,1700000156,12-Jan-17,7012,6.54101E+12,HAN SHUN GU FEN YOU XI,福泰商務飯店　　　　　　　　　　　　　　,V,國內,TW,Changhua Coun,非網路交易,7300,通舖,1,旅遊消費,2017/1/3,7.自來案件,自來案件,福泰商務飯店　　　　　　　　　　　　　　,,GENERAL,MALE,金融/證券/保險業,26-30,28.2,嘉義市東區,台灣,其他
1000001319,1,1700000157,11-Jan-17,5399,1.20171E+13,momo-IVR,富邦ｍｏｍｏ－ＩＶＲ　　　　　　　　　　,V,國內,TW,TAIPEI,網路交易,890,其他綜合零售,19,量販零售,2017/1/4,7.自來案件,自來案件,MOMO,ＩＶＲ　　　　　　　　　　,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台北市
1000001319,1,1700000158,12-Jan-17,5542,1216420038,TAI YA,　台亞大同路站－自助加油區　　　　　　　,V,國內,TW,TAINAN,非網路交易,2,自助加油站,6,行,2017/1/4,7.自來案件,自來案件,FORMOSA OIL,自助加油區　　　　　　　,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001319,1,1700000159,12-Jan-17,5542,1216420036,TAI YA,　台亞安南站－自助加油區　　　　　　　　,V,國內,TW,TAINAN,非網路交易,1,自助加油站,6,行,2017/1/4,7.自來案件,自來案件,FORMOSA OIL,自助加油區　　　　　　　　,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001319,1,1700000160,12-Jan-17,5542,1216420036,TAI YA,　台亞安南站－自助加油區　　　　　　　　,V,國內,TW,TAINAN,非網路交易,2,自助加油站,6,行,2017/1/4,7.自來案件,自來案件,FORMOSA OIL,自助加油區　　　　　　　　,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001319,1,1700000161,12-Jan-17,5411,8080034460,PRESICARRE CORP.-CC,家樂福－中正店一般　　　　　　　　　　　,V,國內,TW,TAINAN,非網路交易,100,超級市場,19,量販零售,2017/1/4,7.自來案件,自來案件,家樂福,中正店一般　　　　　　　　　　　,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001319,1,1700000162,12-Jan-17,5411,8080034460,PRESICARRE CORP.-CC,家樂福－中正店一般　　　　　　　　　　　,V,國內,TW,TAINAN,非網路交易,100,超級市場,19,量販零售,2017/1/4,7.自來案件,自來案件,家樂福,中正店一般　　　　　　　　　　　,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001319,1,1700000163,12-Jan-17,5411,8080034460,PRESICARRE CORP.-CC,家樂福－中正店一般　　　　　　　　　　　,V,國內,TW,TAINAN,非網路交易,100,超級市場,19,量販零售,2017/1/4,7.自來案件,自來案件,家樂福,中正店一般　　　　　　　　　　　,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
1000001319,1,1700000164,12-Jan-17,5411,8080034460,PRESICARRE CORP.-CC,家樂福－中正店一般　　　　　　　　　　　,V,國內,TW,TAINAN,非網路交易,100,超級市場,19,量販零售,2017/1/4,7.自來案件,自來案件,家樂福,中正店一般　　　　　　　　　　　,GENERAL,MALE,專業人員-律師/會計師,46-50,49.3,台南市安南區,台灣,台南市
